ASNo,Number of Nodes,Running SUM,Nodes/33
AS29075,1,6444,
AS30798,1,6445,
AS27833,1,6446,
AS3265,1,6447,
AS15626,1,6448,
AS197226,1,6449,
AS56902,1,6450,
AS201206,1,6451,
AS31103,1,6452,
AS62904,1,6453,
AS47264,1,6454,
AS11814,1,6455,
AS25454,1,6456,
AS13156,1,6457,
AS47447,1,6458,
AS31394,1,6459,
AS24086,1,6460,
AS35154,1,6461,
AS11013,1,6462,
AS48347,1,6463,
AS36472,1,6464,
AS131896,1,6465,
AS47914,1,6466,
AS40065,1,6467,
AS25190,1,6468,
AS58309,1,6469,
AS47169,1,6470,
AS50245,1,6471,
AS9299,1,6472,
AS35277,1,6473,
AS197393,1,6474,
AS35401,1,6475,
AS15826,1,6476,
AS28126,1,6477,
AS29447,1,6478,
AS38197,1,6479,
AS60117,1,6480,
AS400439,1,6481,
AS56546,1,6482,
AS205898,1,6483,
AS43709,1,6484,
AS11666,1,6485,
AS17506,1,6486,
AS50963,1,6487,
AS21396,1,6488,
AS42675,1,6489,
AS10352,1,6490,
AS60529,1,6491,
AS29844,1,6492,
AS38923,1,6493,
AS21127,1,6494,
AS263694,1,6495,
AS5384,1,6496,
AS47872,1,6497,
AS37628,1,6498,
AS29893,1,6499,
AS1241,1,6500,
AS21453,1,6501,
AS12578,1,6502,
AS27928,1,6503,
AS35863,1,6504,
AS14469,1,6505,
AS31012,1,6506,
AS15440,1,6507,
AS29909,1,6508,
AS10214,1,6509,
AS43180,1,6510,
AS47,1,6511,
AS42621,1,6512,
AS13706,1,6513,
AS205671,1,6514,
AS20723,1,6515,
AS43263,1,6516,
AS198646,1,6517,
AS26863,1,6518,
AS16863,1,6519,
AS24085,1,6520,
AS3790,1,6521,
AS2510,1,6522,
AS48815,1,6523,
AS48716,1,6524,
AS56044,1,6525,
AS262197,1,6526,
AS397545,1,6527,
AS211632,1,6528,
AS44291,1,6529,
AS56427,1,6530,
AS20845,1,6531,
AS203493,1,6532,
AS34781,1,6533,
AS52207,1,6534,
AS212913,1,6535,
AS51248,1,6536,
AS8728,1,6537,
AS208909,1,6538,
AS208016,1,6539,
AS57523,1,6540,
AS199860,1,6541,
AS31263,1,6542,
AS397285,1,6543,
AS33993,1,6544,
AS55391,1,6545,
AS29432,1,6546,
AS16532,1,6547,
AS14638,1,6548,
AS197312,1,6549,
AS31415,1,6550,
AS2518,1,6551,
AS17235,1,6552,
AS208161,1,6553,
AS10480,1,6554,
AS5606,1,6555,
AS32264,1,6556,
AS198668,1,6557,
AS15366,1,6558,
AS34385,1,6559,
AS197099,1,6560,
AS55850,1,6561,
AS45267,1,6562,
AS42548,1,6563,
AS42916,1,6564,
AS49447,1,6565,
AS31673,1,6566,
AS24360,1,6567,
AS14828,1,6568,
AS24516,1,6569,
AS23650,1,6570,
AS51852,1,6571,
AS205377,1,6572,
AS53859,1,6573,
AS24154,1,6574,
AS39857,1,6575,
AS33920,1,6576,
AS47330,1,6577,
AS32391,1,6578,
AS37352,1,6579,
AS8342,1,6580,
AS207144,1,6581,
AS262698,1,6582,
AS35612,1,6583,
AS61303,1,6584,
AS39449,1,6585,
AS17072,1,6586,
AS12849,1,6587,
AS60558,1,6588,
AS35162,1,6589,
AS21211,1,6590,
AS8681,1,6591,
AS135887,1,6592,
AS33182,1,6593,
AS39741,1,6594,
AS47321,1,6595,
AS2519,1,6596,
AS205950,1,6597,
AS60602,1,6598,
AS47297,1,6599,
AS59684,1,6600,
AS9155,1,6601,
AS43561,1,6602,
AS212702,1,6603,
AS44365,1,6604,
AS2848,1,6605,
AS9269,1,6606,
AS39642,1,6607,
AS201729,1,6608,
AS40980,1,6609,
AS207586,1,6610,
AS204548,1,6611,
AS42961,1,6612,
AS11215,1,6613,
AS31679,1,6614,
AS31036,1,6615,
AS9829,1,6616,
AS34351,1,6617,
AS50821,1,6618,
AS2514,1,6619,
AS21782,1,6620,
AS204035,1,6621,
AS328453,1,6622,
AS202635,1,6623,
AS49106,1,6624,
AS30221,1,6625,
AS12810,1,6626,
AS42298,1,6627,
AS266387,1,6628,
AS60631,1,6629,
AS56465,1,6630,
AS29100,1,6631,
AS142002,1,6632,
AS4528,1,6633,
AS45671,1,6634,
AS4314,1,6635,
AS56300,1,6636,
AS398721,1,6637,
AS30236,1,6638,
AS39178,1,6639,
AS41998,1,6640,
AS30496,1,6641,
AS51504,1,6642,
AS198507,1,6643,
AS56981,1,6644,
AS7057,1,6645,
AS25512,1,6646,
AS56030,1,6647,
AS395460,1,6648,
AS44002,1,6649,
AS62370,1,6650,
AS12445,1,6651,
AS28788,1,6652,
AS35224,1,6653,
AS63297,1,6654,
AS4780,1,6655,
AS395075,1,6656,
AS197704,1,6657,
AS13292,1,6658,
AS197897,1,6659,
AS39501,1,6660,
AS16735,1,6661,
AS42455,1,6662,
AS41268,1,6663,
AS21499,1,6664,
AS55081,1,6665,
AS55990,1,6666,
AS211494,1,6667,
AS39007,1,6668,
AS8001,1,6669,
AS50543,1,6670,
AS27566,1,6671,
AS210079,1,6672,
AS13213,1,6673,
AS11550,1,6674,
AS14978,1,6675,
AS141995,1,6676,
AS39699,1,6677,
AS46887,1,6678,
AS35699,1,6679,
AS134090,1,6680,
AS9,1,6681,
AS60930,1,6682,
AS16223,1,6683,
AS12722,1,6684,
AS14868,1,6685,
AS39598,1,6686,
AS31736,1,6687,
AS22051,1,6688,
AS7155,1,6689,
AS14586,1,6690,
AS207054,1,6691,
AS16842,1,6692,
AS199669,1,6693,
AS32475,1,6694,
AS15547,1,6695,
AS48314,1,6696,
AS138466,1,6697,
AS58212,1,6698,
AS3292,1,6699,
AS12231,1,6700,
AS43624,1,6701,
AS35415,1,6702,
AS264824,1,6703,
AS211507,1,6704,
AS14843,1,6705,
AS21230,1,6706,
AS30969,1,6707,
AS24921,1,6708,
AS3853,1,6709,
AS197726,1,6710,
AS35539,1,6711,
AS209846,1,6712,
AS33582,1,6713,
AS25100,1,6714,
AS9008,1,6715,
AS212728,1,6716,
AS23884,1,6717,
AS5056,1,6718,
AS210329,1,6719,
AS1901,1,6720,
AS12975,1,6721,
AS21804,1,6722,
AS59729,1,6723,
AS59078,1,6724,
AS48757,1,6725,
AS204568,1,6726,
AS133159,1,6727,
AS15685,1,6728,
AS134155,1,6729,
AS11845,1,6730,
AS202204,1,6731,
AS1547,1,6732,
AS263702,1,6733,
AS20850,1,6734,
AS786,1,6735,
AS8427,1,6736,
AS2116,1,6737,
AS47790,1,6738,
AS53594,1,6739,
AS23910,1,6740,
AS32233,1,6741,
AS57154,1,6742,
AS20860,1,6743,
AS41536,1,6744,
AS9500,1,6745,
AS137185,1,6746,
AS197304,1,6747,
AS26288,1,6748,
AS3175,1,6749,
AS45637,1,6750,
AS28878,1,6751,
AS41750,1,6752,
AS18809,1,6753,
AS23140,1,6754,
AS134139,1,6755,
AS43513,1,6756,
AS32335,1,6757,
AS207187,1,6758,
AS803,1,6759,
AS197288,1,6760,
AS61135,1,6761,
AS20910,1,6762,
AS39647,1,6763,
AS56420,1,6764,
AS15589,1,6765,
AS12946,1,6766,
AS51447,1,6767,
AS396362,1,6768,
AS9506,1,6769,
AS44395,1,6770,
AS37342,1,6771,
AS29141,1,6772,
AS29028,1,6773,
AS20243,1,6774,
AS54303,1,6775,
AS12282,1,6776,
AS42765,1,6777,
AS8057,1,6778,
AS198647,1,6779,
AS39540,1,6780,
AS51004,1,6781,
AS24482,1,6782,
AS30764,1,6783,
AS55293,1,6784,
AS5602,1,6785,
AS206264,1,6786,
AS21928,1,6787,
AS57963,1,6788,
AS34867,1,6789,
AS41682,1,6790,
AS50300,1,6791,
AS203003,1,6792,
AS30962,1,6793,
AS15802,1,6794,
AS39238,1,6795,
AS16814,1,6796,
AS20326,1,6797,
AS24353,1,6798,
AS13977,1,6799,
AS5391,1,6800,
AS37349,1,6801,
AS137,1,6802,
AS56282,1,6803,
AS33885,1,6804,
AS30043,1,6805,
AS5466,1,6806,
AS11492,1,6807,
AS21980,1,6808,
AS15774,1,6809,
AS12337,1,6810,
AS31078,1,6811,
AS394256,1,6812,
AS29713,1,6813,
AS16730,1,6814,
AS395510,1,6815,
AS52176,1,6816,
AS14315,1,6817,
AS27323,1,6818,
AS12768,1,6819,
AS59921,1,6820,
AS42864,1,6821,
AS35706,1,6822,
AS42560,1,6823,
AS201046,1,6824,
AS263569,1,6825,
AS56475,1,6826,
AS19009,1,6827,
AS33883,1,6828,
AS60905,1,6829,
AS133199,1,6830,
AS20329,1,6831,
AS15683,1,6832,
AS25264,1,6833,
AS51645,1,6834,
AS42116,1,6835,
AS42775,1,6836,
AS36114,1,6837,
AS204957,1,6838,
AS8167,1,6839,
AS47680,1,6840,
AS36149,1,6841,
AS396006,1,6842,
AS34702,1,6843,
AS62183,1,6844,
AS12709,1,6845,
AS4694,1,6846,
AS13285,1,6847,
AS200134,1,6848,
AS18229,1,6849,
AS11170,1,6850,
AS204490,1,6851,
AS13739,1,6852,
AS48161,1,6853,
AS50712,1,6854,
AS54614,1,6855,
AS45041,1,6856,
AS8331,1,6857,
AS139805,1,6858,
AS15525,1,6859,
AS13489,1,6860,
AS49877,1,6861,
AS39845,1,6862,
AS1403,1,6863,
AS50837,1,6864,
AS208612,1,6865,
AS15987,1,6866,
AS35141,1,6867,
AS17858,1,6868,
AS40861,1,6869,
AS6876,1,6870,
AS36103,1,6871,
AS200052,1,6872,
AS25255,1,6873,
AS51177,1,6874,
AS25504,1,6875,
AS34594,1,6876,
AS16495,1,6877,
AS37199,1,6878,
AS25406,1,6879,
AS197695,1,6880,
AS136200,1,6881,
AS42767,1,6882,
AS40281,1,6883,
AS30466,1,6884,
