blockGenerator,time
15_L2_UNIV15_miner_151,2022-05-04 18:44:11.681629
14_L2_UNIV14_miner_1413,2022-05-04 18:44:26.225449
15_L2_UNIV15_miner_152,2022-05-04 18:44:40.523119
15_L2_UNIV15_miner_152,2022-05-04 18:44:54.812926
15_L2_UNIV15_miner_152,2022-05-04 18:45:09.069808
15_L2_UNIV15_miner_152,2022-05-04 18:45:23.453750
15_L2_UNIV15_miner_152,2022-05-04 18:45:37.748088
15_L2_UNIV15_miner_152,2022-05-04 18:45:51.928034
15_L2_UNIV15_miner_152,2022-05-04 18:46:06.289445
15_L2_UNIV15_miner_152,2022-05-04 18:46:20.736936
14_L2_UNIV14_miner_1413,2022-05-04 18:46:35.149459
14_L2_UNIV14_miner_1413,2022-05-04 18:46:49.251679
14_L2_UNIV14_miner_1413,2022-05-04 18:47:03.713906
15_L2_UNIV15_miner_152,2022-05-04 18:47:18.122736
14_L2_UNIV14_miner_1413,2022-05-04 18:47:32.408136
14_L2_UNIV14_miner_1413,2022-05-04 18:47:46.844513
15_L2_UNIV15_miner_152,2022-05-04 18:48:01.006148
14_L2_UNIV14_miner_1413,2022-05-04 18:48:15.458427
15_L2_UNIV15_miner_151,2022-05-04 18:48:29.468043
15_L2_UNIV15_miner_152,2022-05-04 18:48:43.695427
15_L2_UNIV15_miner_152,2022-05-04 18:48:58.031935
blockNum,time,hosts,delta
18,2022-05-04 18:48:30.145201,14_L2_UNIV14_miner_1411,0 days 00:00:00.677158
19,2022-05-04 18:48:44.415774,14_L2_UNIV14_miner_1411,0 days 00:00:00.720347
0,2022-05-04 18:44:12.567189,14_L2_UNIV14_miner_1410,0 days 00:00:00.885560
1,2022-05-04 18:44:27.076544,14_L2_UNIV14_miner_1410,0 days 00:00:00.851095
2,2022-05-04 18:44:41.421502,14_L2_UNIV14_miner_1410,0 days 00:00:00.898383
3,2022-05-04 18:44:55.674377,14_L2_UNIV14_miner_1410,0 days 00:00:00.861451
4,2022-05-04 18:45:09.948847,14_L2_UNIV14_miner_1410,0 days 00:00:00.879039
5,2022-05-04 18:45:24.337310,14_L2_UNIV14_miner_1410,0 days 00:00:00.883560
6,2022-05-04 18:45:38.559913,14_L2_UNIV14_miner_1410,0 days 00:00:00.811825
7,2022-05-04 18:45:52.838261,14_L2_UNIV14_miner_1410,0 days 00:00:00.910227
8,2022-05-04 18:46:07.068570,14_L2_UNIV14_miner_1410,0 days 00:00:00.779125
9,2022-05-04 18:46:21.588080,14_L2_UNIV14_miner_1410,0 days 00:00:00.851144
10,2022-05-04 18:46:36.010038,14_L2_UNIV14_miner_1410,0 days 00:00:00.860579
11,2022-05-04 18:46:50.146525,14_L2_UNIV14_miner_1410,0 days 00:00:00.894846
12,2022-05-04 18:47:04.569921,14_L2_UNIV14_miner_1410,0 days 00:00:00.856015
13,2022-05-04 18:47:18.980701,14_L2_UNIV14_miner_1410,0 days 00:00:00.857965
14,2022-05-04 18:47:33.311893,14_L2_UNIV14_miner_1410,0 days 00:00:00.903757
15,2022-05-04 18:47:47.659678,14_L2_UNIV14_miner_1410,0 days 00:00:00.815165
16,2022-05-04 18:48:01.914084,14_L2_UNIV14_miner_1410,0 days 00:00:00.907936
17,2022-05-04 18:48:16.384725,14_L2_UNIV14_miner_1410,0 days 00:00:00.926298
18,2022-05-04 18:48:30.302168,14_L2_UNIV14_miner_1410,0 days 00:00:00.834125
19,2022-05-04 18:48:44.559093,14_L2_UNIV14_miner_1410,0 days 00:00:00.863666
0,2022-05-04 18:44:12.713801,14_L2_UNIV14_miner_149,0 days 00:00:01.032172
1,2022-05-04 18:44:27.238957,14_L2_UNIV14_miner_149,0 days 00:00:01.013508
2,2022-05-04 18:44:41.573887,14_L2_UNIV14_miner_149,0 days 00:00:01.050768
3,2022-05-04 18:44:55.832205,14_L2_UNIV14_miner_149,0 days 00:00:01.019279
4,2022-05-04 18:45:10.083951,14_L2_UNIV14_miner_149,0 days 00:00:01.014143
5,2022-05-04 18:45:24.469003,14_L2_UNIV14_miner_149,0 days 00:00:01.015253
6,2022-05-04 18:45:38.709345,14_L2_UNIV14_miner_149,0 days 00:00:00.961257
7,2022-05-04 18:45:52.983160,14_L2_UNIV14_miner_149,0 days 00:00:01.055126
8,2022-05-04 18:46:07.214901,14_L2_UNIV14_miner_149,0 days 00:00:00.925456
9,2022-05-04 18:46:21.746299,14_L2_UNIV14_miner_149,0 days 00:00:01.009363
10,2022-05-04 18:46:36.171886,14_L2_UNIV14_miner_149,0 days 00:00:01.022427
11,2022-05-04 18:46:50.306940,14_L2_UNIV14_miner_149,0 days 00:00:01.055261
12,2022-05-04 18:47:04.723944,14_L2_UNIV14_miner_149,0 days 00:00:01.010038
13,2022-05-04 18:47:19.119854,14_L2_UNIV14_miner_149,0 days 00:00:00.997118
14,2022-05-04 18:47:33.451840,14_L2_UNIV14_miner_149,0 days 00:00:01.043704
15,2022-05-04 18:47:47.775581,14_L2_UNIV14_miner_149,0 days 00:00:00.931068
16,2022-05-04 18:48:02.050181,14_L2_UNIV14_miner_149,0 days 00:00:01.044033
17,2022-05-04 18:48:16.496811,14_L2_UNIV14_miner_149,0 days 00:00:01.038384
18,2022-05-04 18:48:30.451265,14_L2_UNIV14_miner_149,0 days 00:00:00.983222
19,2022-05-04 18:48:44.712257,14_L2_UNIV14_miner_149,0 days 00:00:01.016830
0,2022-05-04 18:44:12.833389,14_L2_UNIV14_miner_148,0 days 00:00:01.151760
1,2022-05-04 18:44:27.384836,14_L2_UNIV14_miner_148,0 days 00:00:01.159387
2,2022-05-04 18:44:41.717645,14_L2_UNIV14_miner_148,0 days 00:00:01.194526
3,2022-05-04 18:44:55.967902,14_L2_UNIV14_miner_148,0 days 00:00:01.154976
4,2022-05-04 18:45:10.227424,14_L2_UNIV14_miner_148,0 days 00:00:01.157616
5,2022-05-04 18:45:24.609038,14_L2_UNIV14_miner_148,0 days 00:00:01.155288
6,2022-05-04 18:45:38.867106,14_L2_UNIV14_miner_148,0 days 00:00:01.119018
7,2022-05-04 18:45:53.124562,14_L2_UNIV14_miner_148,0 days 00:00:01.196528
8,2022-05-04 18:46:07.388273,14_L2_UNIV14_miner_148,0 days 00:00:01.098828
9,2022-05-04 18:46:21.877429,14_L2_UNIV14_miner_148,0 days 00:00:01.140493
10,2022-05-04 18:46:36.297424,14_L2_UNIV14_miner_148,0 days 00:00:01.147965
11,2022-05-04 18:46:50.465582,14_L2_UNIV14_miner_148,0 days 00:00:01.213903
12,2022-05-04 18:47:04.854913,14_L2_UNIV14_miner_148,0 days 00:00:01.141007
13,2022-05-04 18:47:19.272750,14_L2_UNIV14_miner_148,0 days 00:00:01.150014
14,2022-05-04 18:47:33.580186,14_L2_UNIV14_miner_148,0 days 00:00:01.172050
15,2022-05-04 18:47:47.944175,14_L2_UNIV14_miner_148,0 days 00:00:01.099662
16,2022-05-04 18:48:02.173641,14_L2_UNIV14_miner_148,0 days 00:00:01.167493
17,2022-05-04 18:48:16.648260,14_L2_UNIV14_miner_148,0 days 00:00:01.189833
18,2022-05-04 18:48:30.590086,14_L2_UNIV14_miner_148,0 days 00:00:01.122043
19,2022-05-04 18:48:44.832802,14_L2_UNIV14_miner_148,0 days 00:00:01.137375
0,2022-05-04 18:44:12.997261,14_L2_UNIV14_miner_147,0 days 00:00:01.315632
1,2022-05-04 18:44:27.532242,14_L2_UNIV14_miner_147,0 days 00:00:01.306793
2,2022-05-04 18:44:41.866042,14_L2_UNIV14_miner_147,0 days 00:00:01.342923
3,2022-05-04 18:44:56.100784,14_L2_UNIV14_miner_147,0 days 00:00:01.287858
4,2022-05-04 18:45:10.346713,14_L2_UNIV14_miner_147,0 days 00:00:01.276905
5,2022-05-04 18:45:24.753782,14_L2_UNIV14_miner_147,0 days 00:00:01.300032
6,2022-05-04 18:45:39.023238,14_L2_UNIV14_miner_147,0 days 00:00:01.275150
7,2022-05-04 18:45:53.255186,14_L2_UNIV14_miner_147,0 days 00:00:01.327152
8,2022-05-04 18:46:07.519734,14_L2_UNIV14_miner_147,0 days 00:00:01.230289
9,2022-05-04 18:46:21.996267,14_L2_UNIV14_miner_147,0 days 00:00:01.259331
10,2022-05-04 18:46:36.432080,14_L2_UNIV14_miner_147,0 days 00:00:01.282621
11,2022-05-04 18:46:50.627735,14_L2_UNIV14_miner_147,0 days 00:00:01.376056
12,2022-05-04 18:47:04.995235,14_L2_UNIV14_miner_147,0 days 00:00:01.281329
13,2022-05-04 18:47:19.383048,14_L2_UNIV14_miner_147,0 days 00:00:01.260312
14,2022-05-04 18:47:33.729088,14_L2_UNIV14_miner_147,0 days 00:00:01.320952
15,2022-05-04 18:47:48.087721,14_L2_UNIV14_miner_147,0 days 00:00:01.243208
16,2022-05-04 18:48:02.312511,14_L2_UNIV14_miner_147,0 days 00:00:01.306363
17,2022-05-04 18:48:16.760786,14_L2_UNIV14_miner_147,0 days 00:00:01.302359
18,2022-05-04 18:48:30.699404,14_L2_UNIV14_miner_147,0 days 00:00:01.231361
19,2022-05-04 18:48:44.991944,14_L2_UNIV14_miner_147,0 days 00:00:01.296517
0,2022-05-04 18:44:13.150696,14_L2_UNIV14_miner_146,0 days 00:00:01.469067
1,2022-05-04 18:44:27.642439,14_L2_UNIV14_miner_146,0 days 00:00:01.416990
2,2022-05-04 18:44:42.023963,14_L2_UNIV14_miner_146,0 days 00:00:01.500844
3,2022-05-04 18:44:56.241236,14_L2_UNIV14_miner_146,0 days 00:00:01.428310
4,2022-05-04 18:45:10.476731,14_L2_UNIV14_miner_146,0 days 00:00:01.406923
5,2022-05-04 18:45:24.863784,14_L2_UNIV14_miner_146,0 days 00:00:01.410034
6,2022-05-04 18:45:39.176132,14_L2_UNIV14_miner_146,0 days 00:00:01.428044
7,2022-05-04 18:45:53.414376,14_L2_UNIV14_miner_146,0 days 00:00:01.486342
8,2022-05-04 18:46:07.678762,14_L2_UNIV14_miner_146,0 days 00:00:01.389317
9,2022-05-04 18:46:22.126914,14_L2_UNIV14_miner_146,0 days 00:00:01.389978
10,2022-05-04 18:46:36.565057,14_L2_UNIV14_miner_146,0 days 00:00:01.415598
11,2022-05-04 18:46:50.780008,14_L2_UNIV14_miner_146,0 days 00:00:01.528329
12,2022-05-04 18:47:05.132753,14_L2_UNIV14_miner_146,0 days 00:00:01.418847
13,2022-05-04 18:47:19.539070,14_L2_UNIV14_miner_146,0 days 00:00:01.416334
14,2022-05-04 18:47:33.874178,14_L2_UNIV14_miner_146,0 days 00:00:01.466042
15,2022-05-04 18:47:48.231228,14_L2_UNIV14_miner_146,0 days 00:00:01.386715
16,2022-05-04 18:48:02.437414,14_L2_UNIV14_miner_146,0 days 00:00:01.431266
17,2022-05-04 18:48:16.905723,14_L2_UNIV14_miner_146,0 days 00:00:01.447296
18,2022-05-04 18:48:30.856749,14_L2_UNIV14_miner_146,0 days 00:00:01.388706
19,2022-05-04 18:48:45.133146,14_L2_UNIV14_miner_146,0 days 00:00:01.437719
0,2022-05-04 18:44:13.294409,14_L2_UNIV14_miner_145,0 days 00:00:01.612780
1,2022-05-04 18:44:27.761325,14_L2_UNIV14_miner_145,0 days 00:00:01.535876
2,2022-05-04 18:44:42.151667,14_L2_UNIV14_miner_145,0 days 00:00:01.628548
3,2022-05-04 18:44:56.368895,14_L2_UNIV14_miner_145,0 days 00:00:01.555969
