blockGenerator,time
15_L2_UNIV15_miner_152,2022-05-04 21:57:55.549553
15_L2_UNIV15_miner_152,2022-05-04 21:58:09.822869
15_L2_UNIV15_miner_152,2022-05-04 21:58:23.942925
15_L2_UNIV15_miner_152,2022-05-04 21:58:38.146810
15_L2_UNIV15_miner_152,2022-05-04 21:58:52.623789
15_L2_UNIV15_miner_152,2022-05-04 21:59:06.771547
15_L2_UNIV15_miner_151,2022-05-04 21:59:21.207461
15_L2_UNIV15_miner_152,2022-05-04 21:59:35.883871
15_L2_UNIV15_miner_152,2022-05-04 21:59:50.391522
15_L2_UNIV15_miner_151,2022-05-04 22:00:04.849240
15_L2_UNIV15_miner_152,2022-05-04 22:00:19.169325
15_L2_UNIV15_miner_152,2022-05-04 22:00:33.617290
15_L2_UNIV15_miner_152,2022-05-04 22:00:48.116994
15_L2_UNIV15_miner_152,2022-05-04 22:01:02.445304
15_L2_UNIV15_miner_151,2022-05-04 22:01:16.667940
15_L2_UNIV15_miner_151,2022-05-04 22:01:31.075559
15_L2_UNIV15_miner_152,2022-05-04 22:01:45.479959
15_L2_UNIV15_miner_152,2022-05-04 22:02:00.085218
15_L2_UNIV15_miner_151,2022-05-04 22:02:14.485764
15_L2_UNIV15_miner_152,2022-05-04 22:02:28.880588
15_L2_UNIV15_miner_152,2022-05-04 22:02:43.185499
blockNum,time,hosts,delta
9,2022-05-04 22:00:05.949348,14_L2_UNIV14_miner_148,0 days 00:00:01.100108
10,2022-05-04 22:00:20.293940,14_L2_UNIV14_miner_148,0 days 00:00:01.124615
11,2022-05-04 22:00:34.740706,14_L2_UNIV14_miner_148,0 days 00:00:01.123416
12,2022-05-04 22:00:49.255424,14_L2_UNIV14_miner_148,0 days 00:00:01.138430
13,2022-05-04 22:01:03.607903,14_L2_UNIV14_miner_148,0 days 00:00:01.162599
14,2022-05-04 22:01:17.809908,14_L2_UNIV14_miner_148,0 days 00:00:01.141968
15,2022-05-04 22:01:32.201076,14_L2_UNIV14_miner_148,0 days 00:00:01.125517
16,2022-05-04 22:01:46.681901,14_L2_UNIV14_miner_148,0 days 00:00:01.201942
17,2022-05-04 22:02:01.234719,14_L2_UNIV14_miner_148,0 days 00:00:01.149501
18,2022-05-04 22:02:15.604657,14_L2_UNIV14_miner_148,0 days 00:00:01.118893
19,2022-05-04 22:02:30.084210,14_L2_UNIV14_miner_148,0 days 00:00:01.203622
0,2022-05-04 21:57:56.857903,14_L2_UNIV14_miner_147,0 days 00:00:01.308350
1,2022-05-04 21:58:11.159150,14_L2_UNIV14_miner_147,0 days 00:00:01.336281
2,2022-05-04 21:58:25.233545,14_L2_UNIV14_miner_147,0 days 00:00:01.290620
3,2022-05-04 21:58:39.421257,14_L2_UNIV14_miner_147,0 days 00:00:01.274447
4,2022-05-04 21:58:53.890753,14_L2_UNIV14_miner_147,0 days 00:00:01.266964
5,2022-05-04 21:59:08.067890,14_L2_UNIV14_miner_147,0 days 00:00:01.296343
6,2022-05-04 21:59:22.470600,14_L2_UNIV14_miner_147,0 days 00:00:01.263139
7,2022-05-04 21:59:37.136748,14_L2_UNIV14_miner_147,0 days 00:00:01.252877
8,2022-05-04 21:59:51.663072,14_L2_UNIV14_miner_147,0 days 00:00:01.271550
9,2022-05-04 22:00:06.097109,14_L2_UNIV14_miner_147,0 days 00:00:01.247869
10,2022-05-04 22:00:20.437341,14_L2_UNIV14_miner_147,0 days 00:00:01.268016
11,2022-05-04 22:00:34.896009,14_L2_UNIV14_miner_147,0 days 00:00:01.278719
12,2022-05-04 22:00:49.412169,14_L2_UNIV14_miner_147,0 days 00:00:01.295175
13,2022-05-04 22:01:03.767152,14_L2_UNIV14_miner_147,0 days 00:00:01.321848
14,2022-05-04 22:01:17.964109,14_L2_UNIV14_miner_147,0 days 00:00:01.296169
15,2022-05-04 22:01:32.369788,14_L2_UNIV14_miner_147,0 days 00:00:01.294229
16,2022-05-04 22:01:46.821838,14_L2_UNIV14_miner_147,0 days 00:00:01.341879
